book_name,public_info,rating_num,comment_num
数据结构与算法分析,维斯 / 冯舜玺 / 机械工业出版社 / 2004-1-1 / 35.00元,8.9,(1468人评价)
C Primer Plus,Stephen Prata、云巅工作室 / 云巅工作室 / 人民邮电出版社 / 2005-2-1 / 60.00元,9.1,(1557人评价)
C专家编程,Peter Van Der Linden / 徐波 / 人民邮电出版社 / 2008-2 / 45.00元,9.2,(1761人评价)
C语言编程：一本全面的C语言入门教程（第三版）,（美）Stephen Kochan / 张小潘 / 电子社博文视点资讯有限公司 / 2006年 / 59,8.7,(124人评价)
Unix/Linux编程实践教程,Bruce Molay、杨宗源、黄海涛 / 杨宗源、黄海涛 / 清华大学出版社 / 2004-10-1 / 56.00元,9.2,(332人评价)
C语言程序设计,K. N. King / 吕秀锋、黄倩 / 人民邮电出版社 / 2010-4 / 79.00元,9.3,(236人评价)
C陷阱与缺陷,凯尼格 / 高巍 / 人民邮电出版社 / 2008-2-1 / 30.00元,8.9,(1168人评价)
C语言入门经典,霍顿 (Ivor Horton) / 清华大学出版社 / 2008-4-1 / 69.80元,8.8,(215人评价)
C语言接口与实现,（美）David R.Hanson / 傅蓉、周鹏、张昆琪、权威 / 机械工业出版社 / 2004-1 / 35.00元,8.3,(124人评价)
UNIX网络编程,史蒂文斯、芬纳、鲁道夫 / 杨继张 / 清华大学出版社 / 2006-1 / 98.00元,9.4,(867人评价)
C程序设计语言,（美）Brian W. Kernighan、（美）Dennis M. Ritchie / 徐宝文、李志译、尤晋元审校 / 机械工业出版社 / 2004-1 / 30.00元,9.4,(3818人评价)
现代编译原理,(美)安佩尔 / 赵克佳、黄春、沈志宇 / 人民邮电出版社 / 2006-4 / 45.00元,8.5,(117人评价)
Linux程序设计,Neil Matthew、Richard Stones / 陈健、宋健建 / 人民邮电出版社 / 201005 / 99.00元,8.4,(294人评价)
C程序设计,谭浩强 / 清华大学出版社 / 2005-7-1 / 26.00元,7.1,(1398人评价)
算法精解,Kyle Loudon / 肖翔、陈舸 / 机械工业出版社 / 2012-8 / 79.00元,8.3,(104人评价)
明解C语言,柴田望洋 / 管杰、罗勇 / 人民邮电出版社 / 2013-5 / 59.00元,8.8,(75人评价)
C标准库,P. J. Plauger / 卢红星、徐明亮、霍建同 / 人民邮电出版社 / 2009-7 / 79.00元,8.7,(135人评价)
C语言的科学和艺术,罗伯茨 / 翁惠玉 / 机械工业出版社 / 2005-3 / 55.00元,8.6,(110人评价)
高效程序的奥秘,沃瑞恩 / 冯速 / 机械工业出版社 / 2004-5 / 28.00元,8.4,(199人评价)
C和指针,Kenneth A.Reek / 徐波 / 人民邮电出版社 / 2008 年4月 / 65.00元,9.0,(1136人评价)
LINUX系统编程,Robert Love / O'Reilly Taiwan公司 / 东南大学出版社 / 2009-7 / 56.00元,8.0,(90人评价)
高质量程序设计指南,林锐、韩永泉 / 电子工业 / 2007-5 / 39.80元,8.1,(443人评价)
程序设计抽象思想,Eric S.Roberts、闪四清 / 闪四清 / 清华大学出版社 / 2005-6 / 78.00元,8.9,(26人评价)
系统程序员成长计划,李先静 / 人民邮电出版社 / 2010-04 / 45.00,7.9,(225人评价)
啊哈C！思考快你一步,啊哈磊 / 电子工业出版社 / 2013-9 / 39.00元,8.1,(119人评价)
TCP/IP Sockets编程,（美）多纳霍，（美）卡尔弗特 / 清华大学出版社 / 2009-11-1 / 29.00元,7.7,(54人评价)
C语言名题精选百则技巧篇,冼镜光 / 机械工业出版社 / 2005-7 / 44.00元,9.0,(41人评价)
莱昂氏UNIX源代码分析,(澳)John Lions / 尤晋元 / 机械工业出版社 / 2000-7-1 / 49.00,8.8,(102人评价)
穆齐尔散文,（奥）穆齐尔、张荣昌（编选） / 吴晓樵、徐畅 / 人民文学出版社 / 2008-12-1 / 25.00元,8.4,(148人评价)
暗夜无星,斯蒂芬·金 / 徐海铭 / 上海文艺出版社 / 2013-8 / 32.00,8.5,(290人评价)
格蕾丝传：我就是时尚,［英］格蕾丝•柯丁顿 / 顾晨曦 / 浦睿文化·湖南人民出版社 / 2017-7 / 120.00元,7.8,(180人评价)
C语言参考手册(原书第5版),Samuel P.Harbison、Guy L.Steele / 邱仲潘 / 机械工业出版社 / 2004-2-1 / 39.00元,7.9,(34人评价)
21天学通C语言,Bradley L.Jones、Peter Aitken / 信达工作室 / 人民邮电出版社 / 2003-3-1 / 52.00元,8.5,(53人评价)
C++Primer Plus,Stephen Prata、孙建春、韦强 / 孙建春、韦强 / 人民邮电出版社 / 2005-5 / 72.00元,8.5,(576人评价)
你必须知道的495个C语言问题,Steve Summit / 孙云、朱群英 / 人民邮电出版社 / 2009-2 / 45.00元,8.2,(210人评价)
数据结构,霍罗威茨 / 机械工业出版社 / 2006-7-1 / 48.00元,8.0,(108人评价)
蜗耕集,张治 / 浙江大学出版社 / 2012-5 / 29.00元,8.6,(101人评价)
程序员的自我修养,俞甲子、石凡、潘爱民 / 电子工业出版社 / 2009-4 / 65.00,8.8,(1837人评价)
