ranking,score,score_num,movie_name
1,9.6,889027,肖申克的救赎
2,9.5,639844,霸王别姬
3,9.4,848327,这个杀手不太冷
4,9.4,722141,阿甘正传
5,9.5,421604,美丽人生
6,9.2,673462,千与千寻
7,9.4,388286,辛德勒的名单
8,9.2,664384,泰坦尼克号
9,9.2,773991,盗梦空间
10,9.3,505408,机器人总动员
11,9.2,606226,海上钢琴师
12,9.1,683676,三傻大闹宝莱坞
13,9.2,463006,忠犬八公的故事
14,9.2,459211,放牛班的春天
15,9.2,495924,大话西游之大圣娶亲
16,9.1,424430,龙猫
17,9.2,348333,教父
18,9.1,462836,楚门的世界
19,9.2,274374,乱世佳人
20,9.1,313093,天堂电影院
21,9.1,370928,触不可及
22,8.9,545702,当幸福来敲门
23,9.2,257983,熔炉
24,9.0,405418,无间道
25,9.0,408010,搏击俱乐部
26,9.4,173587,十二怒汉
27,8.9,554843,怦然心动
28,9.1,491733,星际穿越
29,9.1,287684,指环王3：王者无敌
30,9.0,584672,少年派的奇幻漂流
31,9.0,336233,天空之城
32,9.2,231222,鬼子来了
33,9.0,324687,蝙蝠侠：黑暗骑士
34,8.9,389302,罗马假日
35,9.1,269931,活着
36,8.9,400766,大话西游之月光宝盒
37,9.0,275595,两杆大烟枪
38,8.9,501694,飞屋环游记
39,9.1,224537,窃听风暴
40,9.0,279434,飞越疯人院
41,9.3,182696,海豚湾
42,8.9,323508,闻香识女人
43,8.8,418291,V字仇杀队
44,8.9,350732,哈尔的移动城堡
45,9.1,187480,教父2
46,8.9,305938,美丽心灵
47,9.6,87951,控方证人
48,8.9,271488,指环王2：双塔奇兵
49,8.9,303361,指环王1：魔戒再现
50,8.9,278383,死亡诗社
51,8.8,375366,情书
52,8.7,482797,天使爱美丽
53,9.1,202730,辩护人
54,9.1,174724,美国往事
55,9.0,196778,饮食男女
56,9.0,202939,钢琴家
57,8.9,281222,狮子王
58,8.7,435136,七宗罪
59,8.8,342765,致命魔术
60,8.9,281445,被嫌弃的松子的一生
61,9.2,494573,疯狂动物城
62,9.2,136200,小鞋子
63,8.8,295025,勇敢的心
64,8.7,482646,剪刀手爱德华
65,8.9,231228,音乐之声
66,8.7,332855,低俗小说
67,9.1,175496,素媛
68,8.7,391621,本杰明·巴顿奇事
69,8.8,317677,入殓师
70,8.7,351415,沉默的羔羊
71,8.8,278968,黑客帝国
72,8.8,235744,拯救大兵瑞恩
73,8.7,344541,西西里的美丽传说
74,8.9,231490,玛丽和马克思
75,8.7,379150,蝴蝶效应
76,8.7,268055,心灵捕手
77,8.8,243065,春光乍泄
78,8.7,617542,让子弹飞
79,8.8,232591,幽灵公主
80,8.8,232723,第六感
81,9.2,97103,大闹天宫
82,8.7,267365,阳光灿烂的日子
83,8.7,249714,大鱼
84,8.6,325594,重庆森林
85,8.7,272680,射雕英雄传之东成西就
86,8.6,354674,禁闭岛
87,8.7,230100,甜蜜蜜
88,8.8,265047,阳光姐妹淘
89,8.9,156680,上帝之城
90,8.6,314189,致命ID
91,8.9,153752,一一
92,9.0,124600,狩猎
93,8.7,337720,告白
94,8.7,302865,布达佩斯大饭店
95,8.9,160837,末代皇帝
96,8.6,338344,加勒比海盗
97,8.6,313687,断背山
98,8.7,216468,爱在黎明破晓前
99,9.2,86312,摩登时代
100,8.6,521381,阿凡达
101,8.7,218110,猫鼠游戏
102,8.7,247482,哈利·波特与魔法石
103,8.8,173384,风之谷
104,8.7,195272,爱在日落黄昏时
105,8.8,164885,侧耳倾听
106,8.9,139185,穿条纹睡衣的男孩
107,8.7,200593,萤火虫之墓
108,8.7,345589,消失的爱人
109,8.8,169062,超脱
110,8.7,279240,驯龙高手
111,8.6,221447,幸福终点站
112,8.7,177261,菊次郎的夏天
113,8.6,243241,倩女幽魂
114,9.0,97975,海洋
115,8.7,212217,恐怖直播
116,9.2,75664,七武士
117,8.6,302071,岁月神偷
118,8.5,366138,神偷奶爸
119,8.9,128374,红辣椒
120,8.7,194994,电锯惊魂
121,8.7,211850,借东西的小人阿莉埃蒂
122,8.7,177135,谍影重重3
123,8.8,146848,燃情岁月
124,8.6,204589,杀人回忆
125,8.5,302414,真爱至上
126,8.6,206237,雨人
127,8.5,389503,贫民窟的百万富翁
128,8.7,228117,看不见的客人
129,8.5,273375,记忆碎片
130,8.6,244101,东邪西毒
131,8.9,105039,虎口脱险
132,8.6,232907,怪兽电力公司
133,8.7,362350,疯狂原始人
134,8.8,135037,喜宴
135,8.9,123215,小森林 夏秋篇
136,8.8,116203,卢旺达饭店
137,8.5,407860,黑天鹅
138,8.5,301410,喜剧之王
139,8.7,145748,英雄本色
140,8.6,181329,穿越时空的少女
141,8.8,126749,魂断蓝桥
142,8.5,243981,猜火车
143,8.5,273760,恋恋笔记本
144,8.9,91066,雨中曲
145,8.4,292926,傲慢与偏见
146,8.7,125842,教父3
147,9.0,77002,完美的世界
148,8.7,139115,纵横四海
149,8.7,151055,萤火之森
150,8.7,187333,玩具总动员3
151,8.7,167269,7号房的礼物
152,8.6,265244,哈利·波特与死亡圣器(下)
153,8.8,80901,二十二
154,8.5,238829,花样年华
155,8.6,184797,人工智能
156,8.8,99447,我是山姆
157,8.7,127956,浪潮
158,8.6,156954,海边的曼彻斯特
159,8.4,268269,香水
160,8.4,262269,冰川时代
161,8.7,127954,荒蛮故事
162,8.9,79237,追随
163,8.5,272047,朗读者
164,8.6,170060,撞车
165,8.7,128234,一次别离
166,8.9,105698,小森林 冬春篇
167,8.6,189387,时空恋旅人
168,8.7,119975,罗生门
169,8.6,152360,心迷宫
170,8.4,309040,唐伯虎点秋香
171,8.6,353725,超能陆战队
172,8.5,285173,蝙蝠侠：黑暗骑士崛起
173,8.5,169740,战争之王
174,8.6,124792,可可西里
175,8.7,108483,梦之安魂曲
176,8.8,80909,地球上的星星
177,8.7,105927,碧海蓝天
178,8.3,284004,秒速5厘米
179,8.8,90839,未麻的部屋
180,8.3,307513,恐怖游轮
181,8.6,227322,爆裂鼓手
182,8.5,153859,谍影重重2
183,8.5,185588,谍影重重
184,8.5,173587,阿飞正传
185,8.6,161550,达拉斯买家俱乐部
186,8.6,161604,海盗电台
187,8.7,101955,牯岭街少年杀人事件
188,8.8,79146,惊魂记
189,8.4,186398,魔女宅急便
190,8.5,159738,再次出发之纽约遇见你
191,8.5,250637,被解救的姜戈
192,8.7,102499,绿里奇迹
193,9.2,48308,东京物语
194,8.5,137518,勇闯夺命岛
